월간순위,곡명,가수명,가온지수
1,"나만, 봄",볼빨간사춘기,"235,588,383"
2,작은 것들을 위한 시 (Feat. Halsey),방탄소년단,"230,144,687"
3,Kill This Love,블랙핑크,"183,860,304"
4,별 보러 갈래?,볼빨간사춘기,"163,216,499"
5,FANCY,트와이스,"156,074,933"
6,사월이 지나면 우리 헤어져요,첸,"140,506,960"
7,소우주,방탄소년단,"111,695,040"
8,Make It Right,방탄소년단,"97,027,649"
9,비올레타,아이즈원,"88,233,082"
10,Dionysus,방탄소년단,"79,558,027"
11,HOME,방탄소년단,"79,283,644"
12,Jamais Vu,방탄소년단,"73,216,021"
13,Mermaid,볼빨간사춘기,"69,146,558"
14,Intro _ Persona,방탄소년단,"57,114,489"
15,나들이 갈까,볼빨간사춘기,"55,240,473"
16,Don`t Know What To Do,블랙핑크,"53,483,453"
17,BET BET,뉴이스트,"53,183,101"
18,"GO HIGH (Feat. 우원재, 창모, 더콰이엇)",이영지,"50,063,489"
19,이 밤,양다일,"46,779,339"
20,Seattle Alone,볼빨간사춘기,"46,502,327"
21,있어줄래,길구봉구,"46,497,737"
22,꽃,첸,"34,616,739"
23,우주선,정승환,"33,954,404"
24,HERE (Feat. 빈첸) (Prod. 코드쿤스트),김민규,"31,129,985"
25,하고 싶던 말,첸,"25,395,593"
26,Universe,민현,"25,017,937"
27,사랑의 말,첸,"23,791,641"
28,문제아,"수퍼비, 언에듀케이티드","22,765,930"
29,먼저 가 있을게,첸,"20,960,275"
30,널 그리다,첸,"19,495,001"
