월간순위,곡명,가수명,가온지수
1,안녕,폴킴,"204,338,891"
2,기억해줘요 내 모든 날과 그때를,거미,"197,311,080"
3,Done For Me,펀치,"146,671,823"
4,내 목소리 들리니,벤,"132,863,094"
5,날라리,선미,"106,873,279"
6,나빠,크러쉬,"105,001,267"
7,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"97,341,984"
8,음파음파,레드벨벳,"83,666,884"
9,그 끝에 그대,청하,"74,768,578"
10,벗,닐로,"65,376,720"
11,FLASH,엑스원,"61,486,824"
12,Say Goodbye,송하예,"61,258,745"
13,"담아 (Feat. 염따, pH-1) (Prod. 보이콜드)","스윙스, 키드밀리, 매드 클라운","53,091,515"
14,방에 모기가 있어,10cm,"49,898,333"
15,BUNGEE,오마이걸,"40,934,776"
16,바다 (Feat. 기리보이) (Prod. 기리보이),"우디 고차일드, 최엘비, 서동현, 영비, 칠린호미","36,508,763"
17,러브 델루나,"태용, 펀치","34,687,866"
18,어떤 별보다,레드벨벳,"33,909,643"
19,웃을 때 제일 예뻐,엑스원,"31,198,515"
20,HIT,세븐틴,"28,266,532"
21,U GOT IT,엑스원,"26,516,131"
22,움직여 (Prod. by 지코),엑스원,"24,613,984"
23,괜찮아요,엑스원,"23,952,517"
24,"파티피플 (Feat. 염따, 언에듀케이티드 키드)",기리보이,"21,245,226"
25,make her dance (Feat. 루피 & 크러쉬),사이먼 도미닉,"20,385,119"
26,"fuck, i`m lonely","Lauv, Anne-Marie","20,116,659"
27,Stand Up (Intro.),엑스원,"18,894,270"
28,"덜어 (Feat. 키드밀리, 스윙스) (Prod. 보이콜드)","윤비, 김승민, 윤훼이, 도넛맨","17,553,375"
29,BAMN (Prod. 밀릭),"펀치넬로, 짱유, 제네더질라, 맥대디","16,469,441"
30,"Blue (Feat. 크러쉬, 쏠)",다이나믹듀오,"14,409,520"
