월간순위,곡명,가수명,가온지수
1,Psycho,레드벨벳,"172,476,498"
2,Square,백예린,"156,919,815"
3,"아마두 (Feat. 우원재, 김효은, 넉살,  허클베리피)","염따, 딥플로우, 팔로알토, 더콰이엇, 사이먼 도미닉","147,214,965"
4,나의 오랜 연인에게,다비치,"135,090,123"
5,십이월 이십오일의 고백,정승환,"108,620,182"
6,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"106,825,090"
7,헤어진 우리가 지켜야 할 것들,"김나영, 양다일","102,450,100"
8,첫 겨울이니까,"성시경, 아이유","95,872,900"
9,Popo,백예린,"44,616,242"
10,Flower,윤미래,"44,119,768"
11,마음이 말하는 행복 (Feat.이라온),마크툽,"43,747,517"
12,Amanda (Feat. 사이먼 도미닉) (Prod. By UNTITLEDS),염따,"39,913,739"
13,"FEVER (Feat. 수퍼비, 비비)",박진영,"39,701,623"
14,310,백예린,"39,006,513"
15,노을,다비치,"38,809,997"
16,잘 살고 있다,V.O.S,"36,242,231"
17,중2병,"염따, 딥플로우, 팔로알토, 더콰이엇, 사이먼 도미닉","33,551,447"
18,그 때의 우리,펀치,"27,554,820"
19,텅 (Feat.김하온),빈첸,"24,156,282"
20,Rest,백예린,"20,944,826"
21,우연인 듯 운명,10cm,"16,369,819"
22,제설,기리보이,"16,236,436"
23,Alone,크러쉬,"16,094,811"
24,Bunny,백예린,"15,673,697"
25,With You,크러쉬,"15,482,315"
26,In & Out,레드벨벳,"12,518,777"
27,넌 나의 전부,임한별,"11,888,082"
28,lovelovelove,백예린,"11,610,017"
29,Mr.gloomy,백예린,"10,200,539"
30,와츠롱 (Feat. 윤훼이),기리보이,"9,947,969"
