월간순위,곡명,가수명,가온지수
1,헤어져줘서 고마워,벤,"193,060,437"
2,그대라는 시,태연,"185,862,161"
3,인사,멜로망스,"139,432,948"
4,내 맘을 볼 수 있나요,헤이즈,"127,163,640"
5,We don`t talk together (Feat. 기리보이) (Prod. 슈가),헤이즈,"124,600,182"
6,ICY,있지,"106,002,621"
7,나의 어깨에 기대어요,10cm,"88,887,292"
8,비가 내리는 날에는,윤하,"85,978,410"
9,괜찮아도 괜찮아,디오,"82,606,898"
10,Another Day,"먼데이 키즈, 펀치","70,611,487"
11,열대야,여자친구,"63,191,114"
12,뭐해,강다니엘,"59,759,525"
13,헤어질 걸 알아,폴킴,"59,757,865"
14,UN Village,백현,"55,924,119"
15,U GOT IT,갓츄,"52,986,191"
16,너만 너만 너만,양다일,"52,539,336"
17,조금 더 외로워지겠지,김나영,"42,243,835"
18,I Don`t Care,"Ed Sheeran, Justin Bieber","41,904,687"
19,이뻐이뻐,크레파스,"41,026,767"
20,내 안부,이우,"40,586,471"
21,움직여 (Prod. by 지코),SIXC,"39,965,731"
22,비오는 날 뭐해,하은,"38,440,422"
23,니가 길게 혼자면 좋겠어,지아,"26,203,189"
24,Room Shaker,에일리,"25,537,826"
25,My Love,양다일,"24,038,349"
26,BOOM,엔씨티 드림,"23,366,847"
27,WOW,마마무,"21,777,712"
28,Stay Up (Feat. 빈지노),백현,"21,514,867"
29,What a life,세훈&찬열,"21,030,871"
30,I HOPE,강다니엘,"20,518,041"
