월간순위,곡명,가수명,가온지수
1,술이 문제야,"장혜진, 윤민수","218,315,547"
2,솔직하게 말해서 나,김나영,"175,191,139"
3,Snapping,청하,"150,964,382"
4,서울 밤 (Feat. 빈지노),어반 자카파,"114,804,627"
5,포장마차,황인욱,"92,412,346"
6,짐살라빔,레드벨벳,"91,963,641"
7,BIRTHDAY,전소미,"68,940,229"
8,"아퍼 (Feat. 키드밀리, 릴타치, 김승민, 노엘, 씨잼)",기리보이,"61,655,905"
9,오늘도 빛나는 너에게 (Feat. 이라온),마크툽,"60,062,544"
10,Uh-Oh,(여자)아이들,"58,803,773"
11,비워 (Prod. 웨이체드),"창모, 해쉬스완, 애쉬 아일랜드, 김효은, 릴러말즈 & 더콰이엇)","44,660,105"
12,불나방 (Feat. 블루디),은지원,"43,578,938"
13,Dream Glow,"방탄소년단, Charli XCX","34,627,265"
14,BAND,"창모, 해쉬스완, 애쉬 아일랜드, 김효은","33,625,942"
15,Senorita,"Shawn Mendes, Camila Cabello","33,474,052"
16,연인,박효신,"28,645,802"
17,사랑에 연습이 있었다면 (답가),히키,"27,847,118"
18,Heartbeat,방탄소년단,"23,210,081"
19,도쿄 (Feat. 유라),기리보이,"20,928,757"
20,A Brand New Day,"방탄소년단, Zara Larsson","19,567,435"
21,럽미,펀치,"17,713,656"
22,Chica,청하,"17,026,282"
23,향기,샘김,"14,079,897"
24,손 닿으면,장범준,"13,378,852"
25,불면,"오반, VAN.C","13,275,655"
26,All Night,"방탄소년단, Juice WRLD","9,936,368"
27,잘 살고 있지롱,윤딴딴,"9,424,998"
28,라이딩 (Feat. 개코),하성운,"8,558,460"
29,우리의 밤을 외워요,카더가든,"8,342,312"
30,Follow,유노윤호,"7,897,881"
31,Sunny Side Up!,레드벨벳,"7,863,872"
32,Boogie Up,우주소녀,"7,198,218"
33,다시 너,피아노맨,"4,197,417"
34,날씨 좋은 날,산들,"3,517,140"
35,Feedback (Feat. 넉살),보아,"3,416,523"
36,우린 왜 힘들까 (Feat. 제이클레프),기리보이,"3,189,428"
37,Heart Sign (Prod. 플로우 블로우),옹성우,"3,032,213"
38,"SUMMER 19` (Feat. 존오버, 벤자민)",노엘,"2,866,045"
39,Milkshake,레드벨벳,"2,782,308"
40,"안녕, 여름",레드벨벳,"2,712,174"
