월간순위,곡명,가수명,가온지수
1,처음처럼,엠씨더맥스,"143,887,959"
2,아로하,조정석,"130,534,923"
3,WANNABE,있지,"86,472,289"
4,어떻게 지내,오반,"57,743,525"
5,좋은 사람 있으면 소개시켜줘,조이,"57,694,696"
6,"사랑, 하자",수호,"54,642,537"
7,뜸,위너,"49,315,880"
8,Sweet Night,뷔,"48,201,276"
9,문득,노을,"47,098,794"
10,영웅,엔씨티 127,"45,977,611"
11,찐이야,영탁,"38,461,227"
12,2U,강다니엘,"29,240,786"
13,"아무렇지 않게, 안녕",박혜원,"28,733,867"
14,"안녕, 오늘의 그대에게",임한별,"28,675,797"
15,보라빛 엽서,임영웅,"21,857,135"
16,돌아와 줘,전상근,"17,270,077"
17,배신자,임영웅,"16,369,976"
18,Physical (Feat. 화사),"Dua Lipa, 화사","16,145,027"
19,Made In You,수호,"15,862,266"
20,너의 차례 (Feat. 윤하),수호,"15,373,004"
21,Elevator,엔씨티 127,"15,165,906"
22,자화상,수호,"14,398,994"
23,어떤 말도,크러쉬,"13,990,139"
24,꿈,엔씨티 127,"13,740,633"
25,추억으로 가는 당신,영탁(박지),"13,482,633"
26,우산 ,엔씨티 127,"13,057,195"
27,낮잠,엔씨티 127,"12,688,805"
28,화분,세정,"12,650,082"
29,파트너,"정동원, 장민호","12,607,190"
30,메아리,엔씨티 127,"12,210,729"
