월간순위,곡명,가수명,가온지수
1,너에게 못했던 내 마지막 말은,다비치,"165,848,605"
2,Goodbye,박효신,"151,207,908"
3,누구 없소 (Feat. 비아이),이하이,"141,934,288"
4,AH YEAH,위너,"122,400,733"
5,사랑이 식었다고 말해도 돼,먼데이 키즈,"87,771,161"
6,대충 입고 나와,우디,"75,696,824"
7,교통정리 (Feat. 헤이즈),기리보이,"70,711,628"
8,비가 오잖아,"소유, 오반","69,074,801"
9,다섯 번째 계절,오마이걸,"61,361,723"
10,Speechless,Naomi Scott,"59,282,746"
11,A Whole New World,"1Mena Massoud, Naomi Scott","46,595,960"
12,안녕하세요,김재환,"42,062,669"
13,오월의 어느 봄날 (Feat. 첸),임한별,"37,782,015"
14,니 소식,송하예,"34,160,486"
15,BREATHE,에이비식스,"31,155,418"
16,돈 Call Me (Prod. 브릴리언트),염따,"28,532,856"
17,스며들기 좋은 오늘,백예린,"28,304,912"
18,4시 44분 (Feat. 휘인),박봄,"21,510,668"
19,Arabian Nights,Will Smith,"19,333,145"
20,9-TEEN,세븐틴,"18,024,421"
21,이유,시우민,"17,103,197"
22,Prince Ali,Will Smith,"16,442,390"
23,ME&YOU;,EXID,"15,406,380"
24,If I Can`t Have You,Shawn Mendes,"13,677,136"
25,Friend Like Me,Will Smith,"11,972,753"
26,ECLIPSE,갓세븐,"9,828,867"
27,첫사랑,위너,"8,585,255"
28,BEE,로시,"8,518,322"
29,NO WAY (Feat. 지소울),이하이,"8,456,126"
30,몰라도 너무 몰라,위너,"8,387,161"
