연간순위,곡명,가수명,가온지수
1,2002,Anne-Marie,"1,048,231,794"
2,"모든 날, 모든 순간",폴킴,"933,829,127"
3,사랑에 연습이 있었다면 (Prod. 2soo),임재현,"931,042,191"
4,그때가 좋았어,케이시,"913,322,492"
5,작은 것들을 위한 시 (Feat. Halsey),방탄소년단,"899,520,025"
6,넘쳐흘러,엠씨더맥스,"893,279,119"
7,너를 만나,폴킴,"880,795,687"
8,벌써 12시,청하,"857,725,184"
9,사계,태연,"842,442,323"
10,주저하는 연인들을 위해,잔나비,"829,408,319"
11,달라달라,있지,"784,060,465"
12,옥탑방,엔플라잉,"771,603,812"
13,니 소식,송하예,"764,165,716"
14,bad guy,Billie Eilish,"745,934,236"
15,오늘도 빛나는 너에게 (Feat. 이라온),마크툽,"731,717,487"
16,술이 문제야,"장혜진, 윤민수","723,458,469"
17,노래방에서,장범준,"721,300,597"
18,이 노래가 클럽에서 나온다면,우디,"663,176,469"
19,"나만, 봄",볼빨간사춘기,"651,628,708"
20,180도,벤,"650,506,807"
21,안녕,폴킴,"628,369,161"
22,사계 (하루살이),엠씨더맥스,"626,854,406"
23,너에게 못했던 내 마지막 말은,다비치,"613,221,684"
24,포장마차,황인욱,"611,460,987"
25,신용재,하은,"605,122,745"
26,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"594,179,432"
27,Way Back Home,숀,"590,538,935"
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악뮤,"586,273,009"
29,FANCY,트와이스,"575,240,840"
30,그대라는 시,태연,"551,685,493"
31,초록빛,폴킴,"549,451,283"
32,Speechless,Naomi Scott,"548,398,453"
33,솔직하게 말해서 나,김나영,"546,179,254"
34,기억해줘요 내 모든 날과 그때를,거미,"545,398,594"
35,멍청이,화사,"538,240,123"
36,헤어져줘서 고마워,벤,"537,386,884"
37,사랑이 식었다고 말해도 돼,먼데이 키즈,"533,690,113"
38,사월이 지나면 우리 헤어져요,첸,"531,841,069"
39,Paris In The Rain,Lauv,"521,834,139"
40,SOLO,제니,"517,517,597"
41,시든 꽃에 물을 주듯,박혜원,"516,749,846"
42,신청곡 (Feat. SUGA of BTS),이소라,"513,920,836"
43,봄날,방탄소년단,"511,028,047"
44,IDOL,방탄소년단,"510,294,997"
45,Kill This Love,블랙핑크,"510,036,566"
46,YES or YES,트와이스,"505,787,229"
47,당신과는 천천히,장범준,"504,155,261"
48,띵 (Prod. By 기리보이),"Jvcki Wai, Young B, Osshun Gum, 한요한","499,576,076"
49,너도 그냥 날 놓아주면 돼,윤건,"497,122,144"
50,비,폴킴,"494,487,597"
