월간순위,곡명,가수명,가온지수
1,VVS (Feat. 저스디스) (Prod. 그루비룸),"미란이, 먼치맨, 쿤디판다, 머쉬베놈","140,272,886"
2,Life Goes On,방탄소년단,"104,450,765"
3,밤하늘의 별을,경서,"73,786,362"
4,Freak (Prod. 슬롬),"릴보이, 원슈타인 , 칠린호미, 스카이민혁","67,487,732"
5,가을밤에 든 생각,잔나비,"65,209,962"
6,뻔한남자,이승기,"61,138,567"
7,HERO,임영웅,"48,042,214"
8,내 방을 여행하는 법,방탄소년단,"47,738,165"
9,Blue & Grey,방탄소년단,"46,801,905"
10,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디, 카키, 래원","45,502,669"
11,AYA,마마무,"42,890,890"
12,잠시,방탄소년단,"38,045,880"
13,HAPPENING,악동뮤지션,"37,301,725"
14,Stay,방탄소년단,"34,902,903"
15,병,방탄소년단,"33,317,185"
16,Black Mamba,에스파,"31,149,907"
17,"윈윈 (Feat. 개코, 비와이) (Prod. 비와이)","허성현, 디젤, 가오가이, 언텔","30,058,536"
18,Dancing Cartoon,볼빨간 사춘기,"30,032,017"
19,MAGO,여자친구,"28,090,158"
20,니 이름 불렀나 봐,V.O.S,"21,847,499"
21,My Love (Duet Ver.),"이승철, 태연","20,190,024"
22,광장동에서,창모,"18,879,283"
23,그 섬,하성운,"16,872,635"
24,사라진 모든 것들에게 (with 엘르 코리아),"코드 쿤스트, 잔나비 최정훈, 사이먼 도미닉","16,506,100"
25,이데아,태민,"14,750,711"
26,90`s Love,엔씨티 유,"14,419,107"
27,음,카이,"14,107,541"
28,Show Your Love,비투비 포유,"12,303,442"
29,"반짝 빛나던, 나의 2006년",적재,"10,057,486"
30,Skit,방탄소년단,"8,819,279"
