월간순위,곡명,가수명,가온지수
1,DON`T TOUCH ME,환불원정대,"181,121,370"
2,Lovesick Girls,블랙핑크,"147,244,598"
3,잠이 오질 않네요,장범준,"126,769,969"
4,Savage Love (BTS Remix),"Jawsh 685, Jason Derulo, BTS","105,141,178"
5,딩가딩가,마마무,"82,013,766"
6,I CAN`T STOP ME,트와이스,"81,213,004"
7,놓아줘 (with 태연),크러쉬,"75,873,591"
8,너도 아는,폴킴,"73,619,028"
9,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"48,514,085"
10,Bet You Wanna (Feat. Cardi B),블랙핑크,"44,423,086"
11,잠이 들어야 (Feat. 헤이즈),로꼬,"40,828,483"
12,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈,"39,210,548"
13,Pretty Savage,블랙핑크,"38,326,094"
14,ALIEN,이수현,"37,786,603"
15,도망가,마이노,"37,032,112"
16,소확행,임창정,"36,408,081"
17,Make A Wish,엔씨티 유,"34,972,538"
18,너의 곁에만 맴돌아,노을,"33,920,703"
19,사랑하고 싶지 않아 (바른연애 길잡이 X 시아준수),시아준수,"29,877,566"
20,행복해,송하예,"29,425,453"
21,HOME;RUN,세븐틴,"27,852,834"
22,Tip Toe (with 이하이),크러쉬,"24,917,642"
23,행복하니,케이시,"24,565,844"
24,우리 사랑한 동안,에일리,"24,004,017"
25,Love To Hate Me,블랙핑크,"19,254,146"
26,내 마음을 누르는 일,규현,"19,114,327"
27,Crazy Over You,블랙핑크,"17,413,420"
28,You Never Know,블랙핑크,"15,707,832"
29,어느 날 우리,김필,"13,674,827"
30,34+35,Ariana Grande,"13,509,862"
