월간순위,곡명,가수명,가온지수
1,Bad Boy,"청하, Christopher","46,636,190"
2,숲의 아이,유아,"37,457,023"
3,밤하늘의 저 별처럼,"헤이즈, 펀치 ","36,475,365"
4,축하해,오반,"36,161,250"
5,밤새 (취향저격 그녀 X 카더가든),카더가든,"31,727,203"
6,너의 밤은 어때 (취향저격 그녀 X 정은지),정은지,"28,580,304"
7,만개 (Prod. 신지후),김호중,"25,549,503"
8,Tight,10cm,"22,631,242"
9,별을 담은 시,"마크툽, 이라온","22,509,144"
10,우산이 없어요,김호중,"22,347,544"
11,내일은 고백할게,태연,"21,864,553"
12,나의 시간은,백현,"20,997,125"
13,Criminal,태민,"19,816,535"
14,살았소,김호중,"17,409,991"
15,Holy (Feat. Chance The Rapper),Justin Bieber,"16,123,430"
16,WANNA BE MYSELF,마마무,"15,797,842"
17,Sweet Love (취향저격 그녀 X Crush),크러쉬,"14,952,619"
18,The Stealer,더보이즈,"8,959,386"
19,널 사랑했던 한 사람,펀치,"8,939,444"
20,Obliviate,러블리즈,"7,750,461"
21,그리워하면 그댈 만날까봐,김나영,"6,497,307"
22,아름다운 한 사람,케이윌,"5,945,215"
23,What If,김재환,"3,524,093"
24,B.A.D,SUPER JUNIOR-D&E,"2,978,556"
25,노래해요 그대 듣도록,거미,"2,597,512"
26,호랑이,SuperM,"2,523,793"
27,너의 달빛,첸,"2,512,769"
28,그렇게 넌 내게 빛나,휘인,"2,408,577"
29,헤어져야 하는 이유,이우,"2,306,396"
30,Numbers (Feat. 창모 (CHANGMO)),제이미,"2,244,528"
